Name,Company,Level Audition,Re-Evaluation,note,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep-5,ep-4,ep10
Xilinnayi Gao,Dream Sound,F,A,,1,1,1,1,1,1,3,2,2,2,-
Chen Zhuoxuan,TH Entertainment,A,C,,2,2,2,2,3,3,5,4,3,4,-
Liu Xiening,Hot Idol,A,C,,3,4,5,5,6,6,6,7,6,6,-
Zheng Naixin,Huaying Entertainment,A,B,,4,3,3,3,2,2,7,5,1,3,-
Zhang Yifan,TF Entertainment,F,C,,5,5,4,4,5,5,9,9,7,8,-
Lin Junyi,Turn East Media,A,A,,6,8,8,9,10,10,13,12,9,9,-
Wang Yijin,Jaywalk Newjoy,F,B,,7,7,7,7,7,7,2,3,5,5,-
Jiang Zhenyu,Gramarie Entertainment,A,A,,8,6,6,10,9,9,35,-,-
Yao Hui,Joy Pictures,A,F,,9,9,11,15,12,12,23,23,-
Liu Meng,Jaywalk Newjoy,F,F,,10,13,13,20,20,20,10,15,13,14,-
Ao Xinyi,Jaywalk Newjoy,F,A,,11,15,17,42,44,37,-,-,-
Zhao Yue,Siba Culture,C,C,,12,10,10,6,4,4,1,1,4,1,-
Su Ruiqi,ETM Academy,B,A,,13,12,12,11,13,13,18,13,10,10,-
Zhang Xinwen,papitube,B,F,,14,16,21,34,36,39,-,-,-
Xu Yiyang,L.TAO,C,B,,15,11,9,8,8,8,4,6,8,7,-
Gao Zhi,Top One Culture,F,B,,16,22,48,49,49,49,-,-,-
Xie Anran,Shengyao Music,B,F,,17,18,20,17,24,29,17,21,-
Sun Zhenni,Siba Culture,C,C,,18,17,19,25,11,11,16,18,-
Chen Qiannan,Siba Culture,C,C,,19,21,34,26,25,19,24,25,-
Hua Chengyan,Oneleader Entertainment,F,C,,20,31,37,41,32,23,15,20,-
Ji Yangliu,Banana Entertainment,C,B,,21,25,33,38,43,45,-,-,-
Zhu Zhuai,LOVELIVE,C,B,,22,14,14,22,28,33,11,8,11,11,-
Chen Ke,Siba Culture,C,C,,23,20,18,24,16,21,31,31,-
Hu Jiaxin,TH Entertainment,B,B,,24,19,22,14,14,16,28,28,-
Ma Yuling,Siba Culture,C,F,,25,35,44,46,46,46,-,-,-
Ma Sihui,Emperor Entertainment,F,C,,26,28,49,39,29,25,27,24,-
Lana,Batesmethinks,C,B,,27,29,43,13,17,26,22,22,-
Liu Nian,AKB48 China,C,C,,28,27,30,21,21,24,12,10,14,13,-
Wang Yiqiao,NewStyle Media,B,F,,29,24,27,33,23,15,21,17,-
Li Zimeng,SEVENTFIVE,A,B,,30,40,50,44,40,41,-,-,-
Xu Xiaohan,AIF Entertainment,F,B,,31,34,25,12,15,14,14,16,-
Li Jiaen,Siba Culture,C,C,,32,33,41,37,35,35,32,32,-
Li Mengqi,Banana Entertainment,C,C,,33,30,32,36,34,30,25,26,-
Zeng Xueyao,TH Entertainment,B,A,,34,26,23,23,22,22,30,30,-
Wang Lina,GONNA STAR,B,F,,35,47,54,48,51,51,-,-,-
Huang Enru,Siba Culture,C,C,,36,32,46,32,42,38,-,-,-
Kang Xi,Hot Idol,F,F,,37,39,28,19,30,28,34,33,-
Zhang Qing,Naofactory,F,C,,38,50,45,29,31,18,29,29,-
Tian Jingfan,Jaywalk Newjoy,F,C,,39,43,52,16,18,27,20,19,-
Chen Xinye,White Media,F,B,,40,55,72,-,-,-,-,-,-
Bian Ka,Huayi Brothers,F,F,,41,44,31,54,53,53,-,-,-
Hu Maer,TH Entertainment,B,C,,42,41,38,27,26,31,33,34,-
Bi Shaoyan,Lead Culture Media,C,C,,43,61,78,-,-,-,-,-,-
Zhong Feifei,Eggwood Culture,F,C,,44,49,47,31,37,34,26,27,-
Liu Yulu,Hot Idol,F,F,,45,45,42,56,56,56,-,-,-
Miao Jingou,EE-MEDIA,B,B,,46,54,55,45,45,42,-,-,-
Sun Ruyun,WM Media,B,F,,47,56,57,47,38,43,-,-,-
Wu Yalu,Jinhe Media,B,C,,48,38,29,28,19,17,8,12,15,-
Tu Zhiying,Yuheng Starfield,B,B,,49,62,53,35,39,44,-,-,-
Cuiwen Meixiu,Jaywalk Newjoy,F,B,,50,48,36,51,52,48,-,-,-
Chen Roubing,LoveSurvive,F,C,,51,80,85,-,-,-,-,-,-
Jiang Dan,TH Entertainment,B,F,,52,57,65,-,-,-,-,-,-
Lin Jiahui,Qigu Culture,F,B,,53,51,61,-,-,-,-,-,-
Zhu Ling,AKB48 China,C,C,,54,53,51,52,47,47,-,-,-
Zhang Xinyun,SDT Entertainment,C,B,,55,71,66,-,-,-,-,-,-
Huang Biyin,Banana Entertainment,C,C,,56,65,74,-,-,-,-,-,-
Shi Ruiyi,BG Project,C,F,,57,37,39,53,54,55,-,-,-
Zhang Xinmei,TH Entertainment,B,B,,58,63,62,-,-,-,-,-,-
Li Chengxi,Individual Trainee,B,C,,59,77,75,-,-,-,-,-,-
Liu Shiqi,Top One Culture,F,F,,60,84,90,-,-,-,-,-,-
Meng Huan,I.E One Entertainment,F,C,,61,52,56,-,-,-,-,-,-
Li Baoyi,Banana Entertainment,C,B,,62,68,76,-,-,-,-,-,-
Yuan Jiayi,Unique Entertainment,B,F,,63,69,59,-,-,-,-,-,-
Shen Xiaoting,TOP CLASS Entertainment,F,B,,64,87,80,-,-,-,-,-,-
Wu Xiaoning,I.E One Entertainment,F,F,,65,93,93,-,-,-,-,-,-
Zhong Xin,Hey Hou,F,F,,66,42,15,50,41,36,-,-,-
Wang Yuduo,AKB48 China,C,F,,67,73,68,-,-,-,-,-,-
Xie Yingjun,Top One Culture,F,F,,68,89,92,-,-,-,-,-,-
Ding Shiyu,Huayi Brothers,F,F,,69,64,67,-,-,-,-,-,-
Yu Ziyu,I.E One Entertainment,F,C,,70,59,35,43,50,52,-,-,-
Zhang Yazhuo,NOK MEDIA,C,B,,71,36,40,55,55,54,-,-,-
Feng Wanhe,Jaywalk Newjoy,F,B,,72,46,16,30,33,40,-,-,-
Wen Jie,Huayi Brothers,F,C,,73,76,69,-,-,-,-,-,-
Wan Fangzhou,AKB48 China,C,C,,74,58,58,-,-,-,-,-,-
Yu Yangzi,I.E One Entertainment,F,F,,75,60,24,40,48,50,-,-,-
Zeng Shuyan,SDT Entertainment,C,B,,76,74,63,-,-,-,-,-,-
Li Huiyu,AIF Entertainment,F,F,,77,85,73,-,-,-,-,-,-
Wang Ke,Assaxin,F,C,,78,23,26,18,27,32,19,14,12,12,-
Li Jiajie,Huace Pictures,F,B,,79,88,88,-,-,-,-,-,-
Song Yumiao,AIF Entertainment,F,F,,80,83,87,-,-,-,-,-,-
Wei Qianni,AIF Entertainment,F,B,,81,86,81,-,-,-,-,-,-
Huang Ruoyuan,Huayi Brothers,F,C,,82,94,96,-,-,-,-,-,-
Chen Yujin,Younger Culture,F,F,,83,75,60,-,-,-,-,-,-
Wang Jingxian,AIF Entertainment,F,C,,84,90,91,-,-,-,-,-,-
Sun Lulu,Attitude Music,B,C,,85,95,95,-,-,-,-,-,-
Wang Xiyao,SDT Entertainment,C,F,,86,79,70,-,-,-,-,-,-
Pan Xiaoxue,Hot Idol,F,C,,87,82,79,-,-,-,-,-,-
Wu Miaoyin,Qigu Culture,F,C,,88,66,82,-,-,-,-,-,-
Xie Anshi,Huayi Brothers,F,F,,89,97,97,-,-,-,-,-,-
Shu Yiling,SDT Entertainment,C,A,,90,78,64,-,-,-,-,-,-
Li Man,SDT Entertainment,C,B,,91,81,71,-,-,-,-,-,-
Hu Yanan,Big Picture Universal,F,F,,92,98,101,-,-,-,-,-,-
Zhou Yulin,TOP CLASS Entertainment,F,F,,93,99,94,-,-,-,-,-,-
Tan Sihui,Qigu Culture,F,C,,94,70,83,-,-,-,-,-,-
Wen Xin,TOP CLASS Entertainment,F,B,,95,100,99,-,-,-,-,-,-
Huang Yuqing,TOP CLASS Entertainment,F,B,,96,101,100,-,-,-,-,-,-
Li Yulu,Qigu Culture,F,C,,97,72,84,-,-,-,-,-,-
Zhang Chunru,Assaxin,F,C,,98,91,89,-,-,-,-,-,-
Zhao Tianai,Top One Culture,F,F,,99,96,98,-,-,-,-,-,-
Lv Xinwei,Assaxin,F,C,,100,92,86,-,-,-,-,-,-
Pang Xueqian,Assaxin,F,C,,101,67,77,-,-,-,-,-,-
